epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,lr,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
60,0.6478825247109826,0.7114427863661923,0.9131348047937665,0.4716981053352356,0.38641975308641974,16/27,8/20,1/6,1.25e-05,,,,,,,
61,0.588459172355595,0.7798507462686567,0.9191342464515141,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,1.25e-05,,,,,,,
62,0.619538407049962,0.7338308460676848,0.8976961927754539,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,1.25e-05,,,,,,,
63,0.605350528190385,0.7723880597014925,0.9149496512753623,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,1.25e-05,,,,,,,
64,0.6397038400173187,0.7350746268656716,0.9047873871667045,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,1.25e-05,,,,,,,
65,0.6117614385352206,0.7823383087542519,0.9160725729806083,0.43396228551864624,0.35308641975308636,16/27,6/20,1/6,1.25e-05,,,,,,,
66,0.6731778167521776,0.7039800997990281,0.9119833282061985,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,1.25e-05,,,,,,,
67,0.6058182965463667,0.7599502490527594,0.9296362612928663,0.43396228551864624,0.35308641975308636,16/27,6/20,1/6,1.25e-05,,,,,,,
68,0.5757960319074232,0.7798507462686567,0.9123837053775787,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,1.25e-05,,,,,,,
69,0.6254902306332517,0.7313432835820896,0.905888135944094,0.5094339847564697,0.4197530864197531,16/27,10/20,1/6,1.25e-05,,,,,,,
70,0.6316445129576014,0.7363184081084693,0.8972643571240562,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,1.25e-05,,,,,,,
71,0.5672869820203355,0.7611940298507462,0.9225184449127742,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,1.25e-05,,,,,,,
72,0.6343788340020535,0.745024875918431,0.9127071031502315,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,6.25e-06,,,,,,,
73,0.6303279624501271,0.7052238805970149,0.9071622448308128,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
74,0.6146758036382163,0.753731343283582,0.911831966468266,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,6.25e-06,,,,,,,
75,0.6361962632456822,0.7363184081084693,0.9142069901738848,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,6.25e-06,,,,,,,
76,0.6919704595608498,0.6865671641791045,0.9056023614747184,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
77,0.6072374920346844,0.7313432835820896,0.9150916508265904,0.4716981053352356,0.3820987654320988,17/27,7/20,1/6,6.25e-06,,,,,,,
78,0.6110832926942341,0.746268656716418,0.9037284212453025,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,6.25e-06,,,,,,,
79,0.60673823463383,0.75,0.9023865929671696,0.4716981053352356,0.3820987654320988,17/27,7/20,1/6,6.25e-06,,,,,,,
80,0.6326978744855568,0.7276119402985075,0.8983271505151477,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
81,0.5893109965680251,0.7674129356199236,0.8988855268274035,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
82,0.6192848811398691,0.7226368162169385,0.9004550789083753,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
83,0.6477822954974958,0.7226368162169385,0.8901324995926448,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,6.25e-06,,,,,,,
84,0.6288128940027151,0.7126865671641791,0.9042843495096479,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
85,0.637929559198778,0.7425373134328358,0.9057164575372424,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
86,0.5526544743064624,0.8134328358208955,0.9042271503380367,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
87,0.6174455024858019,0.7388059701492538,0.9025935743536267,0.49056604504585266,0.39444444444444443,18/27,7/20,1/6,6.25e-06,,,,,,,
88,0.6468443901681188,0.7164179104477612,0.8892703950405121,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
89,0.573682169638463,0.7649253731343284,0.8998261349541801,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
90,0.6178173173719378,0.7363184081084693,0.8969204042639051,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
91,0.5965602282267898,0.7723880597014925,0.9001628884247371,0.4528301954269409,0.3611111111111111,18/27,5/20,1/6,3.125e-06,,,,,,,
