epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
74,0.4824571498294375,0.7985074626865671,0.9584815374442509,0.5471698045730591,0.5179012345679013,19/27,7/20,3/6,,,,,,,
75,0.5537361237984985,0.7238805970149254,0.9534941932984761,0.5660377740859985,0.54320987654321,17/27,10/20,3/6,,,,,,,
76,0.49983256755035316,0.7898009953214161,0.9840148602213178,0.49056604504585266,0.4679012345679012,19/27,4/20,3/6,,,,,,,
77,0.41145183273883007,0.8308457714408192,0.9938786923885345,0.5660377740859985,0.5561728395061728,14/27,13/20,3/6,,,,,,,
78,0.46444531046410104,0.8034825872129469,0.9917437114885875,0.5283018946647644,0.5055555555555555,18/27,7/20,3/6,,,,,,,
79,0.46181756180168976,0.7823383087542519,0.9972905686923436,0.5094339847564697,0.4888888888888889,18/27,6/20,3/6,,,,,,,
80,0.44203780911195634,0.8171641791044776,1.0122723643268858,0.4716981053352356,0.45555555555555555,18/27,4/20,3/6,,,,,,,
81,0.5060066536847335,0.7761194029850746,1.0056230894156866,0.4716981053352356,0.4166666666666667,18/27,5/20,2/6,,,,,,,
82,0.4650251405563817,0.7835820895522388,1.028662268604551,0.5094339847564697,0.4888888888888889,18/27,6/20,3/6,,,,,,,
83,0.5395406203261063,0.753731343283582,1.0444968470505305,0.4716981053352356,0.4685185185185185,15/27,7/20,3/6,,,,,,,
84,0.3948175808303614,0.8395522388059702,1.0661111431462424,0.5094339847564697,0.4888888888888889,18/27,6/20,3/6,,,,,,,
85,0.410736195909888,0.8246268656716418,1.1031462677887507,0.49056604504585266,0.4679012345679012,19/27,4/20,3/6,,,,,,,
86,0.4735710419047235,0.8022388059701493,1.0442833815302168,0.5471698045730591,0.5265432098765432,17/27,9/20,3/6,,,,,,,
87,0.4396496532457088,0.8022388059701493,1.0536398419312067,0.49056604504585266,0.48086419753086423,16/27,7/20,3/6,,,,,,,
88,0.47810604314861904,0.7711442789035057,1.0566335512059075,0.5283018946647644,0.5055555555555555,18/27,7/20,3/6,,,,,,,
89,0.4575642140498802,0.7798507462686567,1.103505096265248,0.49056604504585266,0.47222222222222215,18/27,5/20,3/6,,,,,,,
90,0.4489613888201429,0.7773631842278722,1.0869495868682861,0.5094339847564697,0.4845679012345679,19/27,5/20,3/6,,,,,,,
91,0.49090429659543644,0.7860696520378341,1.0617236580167497,0.5094339847564697,0.4888888888888889,18/27,6/20,3/6,,,,,,,
92,0.44979224704317194,0.7910447761194029,1.0725706347397395,0.5283018946647644,0.49691358024691357,20/27,5/20,3/6,,,,,,,
93,0.4113139461225538,0.8134328358208955,1.056879677942821,0.5094339847564697,0.5061728395061729,14/27,10/20,3/6,,,,,,,
94,0.41946211423891694,0.7898009953214161,1.0634820014238358,0.5283018946647644,0.4537037037037037,21/27,5/20,2/6,,,,,,,
95,0.44909267127513885,0.7686567164179104,1.060322927577155,0.49056604504585266,0.4376543209876543,17/27,7/20,2/6,,,,,,,
96,0.3934501686981365,0.8171641791044776,1.0737982732909066,0.49056604504585266,0.4376543209876543,17/27,7/20,2/6,,,,,,,
97,0.3770999199947092,0.8308457714408192,1.1177319245679038,0.49056604504585266,0.47222222222222215,18/27,5/20,3/6,,,,,,,
98,0.4219924463654187,0.7947761194029851,1.1167949438095093,0.5283018946647644,0.49691358024691357,20/27,5/20,3/6,,,,,,,
99,0.37842276052974944,0.8395522388059702,1.0865958439452308,0.5094339847564697,0.4586419753086419,16/27,9/20,2/6,,,,,,,
100,0.36816147703733015,0.8470149253731343,1.1192619332245417,0.5094339847564697,0.39814814814814814,21/27,5/20,1/6,,,,,,,
TEST,,,,,,,,,,1.8720645223345076,0.35849058628082275,0.31666666666666665,5/20,14/20,0/13
