epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_c0,test_c1,test_c2
85,0.5098776798417319,0.8022388059701493,1.0241277579750334,0.5660377740859985,23/27,5/20,2/6,,,,,,
86,0.5304804457657373,0.8059701492537313,0.9790478306157249,0.5849056839942932,22/27,7/20,2/6,,,,,,
87,0.6222368081225388,0.7860696520378341,0.9708284714392253,0.5660377740859985,21/27,7/20,2/6,,,,,,
88,0.5303179873014564,0.7972636818885803,0.9656655469111034,0.5471698045730591,20/27,7/20,2/6,,,,,,
89,0.6097799760859404,0.7400497513920513,0.9734595950160708,0.6037735939025879,22/27,8/20,2/6,best,,,,,
90,0.5185869240771923,0.7947761194029851,0.940103856580598,0.5660377740859985,20/27,7/20,3/6,,,,,,
91,0.47343087263071715,0.8159203983064908,0.9646895144666944,0.5660377740859985,21/27,6/20,3/6,,,,,,
92,0.511542313078891,0.8022388059701493,0.9512574119227273,0.5660377740859985,21/27,6/20,3/6,,,,,,
93,0.5598708479039705,0.8047263684557445,1.008040922028678,0.5471698045730591,21/27,5/20,3/6,,,,,,
94,0.46086461046960814,0.8009950251721624,0.955394583089011,0.5849056839942932,21/27,7/20,3/6,,,,,,
95,0.5030374761615226,0.7773631842278722,0.9464445816619056,0.5660377740859985,19/27,8/20,3/6,,,,,,
96,0.4810238994324385,0.8383084580079833,0.9856964498758316,0.5283018946647644,20/27,5/20,3/6,,,,,,
97,0.48061918395001496,0.8084577117393266,1.045712228332247,0.5471698045730591,22/27,6/20,1/6,,,,,,
98,0.5533119665820208,0.8097014925373134,0.9807679972478321,0.5849056839942932,21/27,7/20,3/6,,,,,,
99,0.47094553792432176,0.8184079603472753,0.9526691543204444,0.5660377740859985,20/27,7/20,3/6,,,,,,
100,0.48797096489970365,0.8246268656716418,1.0146941393613815,0.5660377740859985,21/27,6/20,3/6,,,,,,
TEST,,,,,,,,,1.3597928370748247,0.37735849618911743,16/20,4/20,0/13
